»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-03-01,'600497,≥€∫Í–ø’‡,6.97,7.06,6.9,6.95,7.07,-0.1,-1.4144,1.2389,53394210,371673499.0,35486302229.0,30039990356.4
2018-02-28,'600497,≥€∫Í–ø’‡,7.07,7.16,6.87,6.97,7.09,-0.02,-0.2821,1.1329,48828737,342297585.0,35995431385.8,30470980175.0
2018-02-27,'600497,≥€∫Í–ø’‡,7.09,7.26,7.05,7.26,7.27,-0.18,-2.4759,1.2469,53740467,383081034.0,36097257217.1,30557178138.7
2018-02-26,'600497,≥€∫Í–ø’‡,7.27,7.31,7.03,7.12,7.09,0.18,2.5388,1.5738,67829598,488260188.0,37013689699.4,31332959812.2
2018-02-23,'600497,≥€∫Í–ø’‡,7.09,7.17,6.94,7.07,7.07,0.02,0.2829,1.2402,53449769,377002633.0,36097257217.1,30557178138.7
2018-02-22,'600497,≥€∫Í–ø’‡,7.07,7.11,6.83,6.92,6.84,0.23,3.3626,1.46,62925107,441937649.0,35995431385.8,30470980175.0
2018-02-14,'600497,≥€∫Í–ø’‡,6.84,6.94,6.75,6.91,6.78,0.06,0.885,0.8843,38113647,260807892.0,34824434325.1,29479703592.2
2018-02-13,'600497,≥€∫Í–ø’‡,6.78,6.91,6.72,6.81,6.72,0.06,0.8929,1.2312,53064260,360957898.0,34518956831.0,29221109701.1
2018-02-12,'600497,≥€∫Í–ø’‡,6.72,6.77,6.55,6.6,6.67,0.05,0.7496,1.2185,52516944,351504019.0,34213479337.0,28962515809.9
2018-02-09,'600497,≥€∫Í–ø’‡,6.67,7.2,6.67,7.14,7.41,-0.74,-9.9865,2.7352,117885364,802977188.0,33958914758.6,28747020900.6
2018-02-08,'600497,≥€∫Í–ø’‡,7.41,7.55,7.23,7.5,7.79,-0.38,-4.878,2.3375,100745335,746593045.0,37726470518.9,31936345558.3
2018-02-07,'600497,≥€∫Í–ø’‡,7.79,8.15,7.66,7.99,7.75,0.04,0.5161,3.6102,155595575,1238945495.0,39661161314.7,33574106868.9
2018-02-06,'600497,≥€∫Í–ø’‡,7.75,8.12,7.66,7.85,8.04,-0.29,-3.607,3.3726,145357274,1148253574.0,39457509652.0,33401710941.5
2018-02-05,'600497,≥€∫Í–ø’‡,8.04,8.14,7.8,7.85,7.91,0.13,1.6435,4.2332,182448387,1459439627.0,40933984206.7,34651581415.4
2018-02-02,'600497,≥€∫Í–ø’‡,7.91,7.91,6.96,7.15,7.19,0.72,10.0139,3.445,148477776,1122309470.0,40272116302.9,34091294651.3
2018-02-01,'600497,≥€∫Í–ø’‡,7.19,7.75,7.02,7.52,7.31,-0.12,-1.6416,3.552,153088294,1145270039.0,36606386373.9,30988167957.3
2018-01-31,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-30,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-29,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-26,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-25,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-24,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-23,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-22,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-19,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-18,'600497,≥€∫Í–ø’‡,0.0,0.0,0.0,0.0,7.31,None,None,0.0,0,0.0,37217341362.1,31505355739.7
2018-01-17,'600497,≥€∫Í–ø’‡,7.31,7.63,7.23,7.59,7.54,-0.23,-3.0504,2.3602,101721411,752003063.0,37217341362.1,31505355739.7
2018-01-16,'600497,≥€∫Í–ø’‡,7.54,7.71,7.42,7.5,7.63,-0.09,-1.1796,2.0981,90426935,681161577.0,38388338422.7,32496632322.4
2018-01-15,'600497,≥€∫Í–ø’‡,7.63,7.87,7.53,7.78,7.82,-0.19,-2.4297,2.5835,111346919,859220041.0,38846554663.8,32884523159.2
2018-01-12,'600497,≥€∫Í–ø’‡,7.82,7.84,7.53,7.67,7.67,0.15,1.9557,2.5623,110433471,851890094.0,39813900061.8,33703403814.5
2018-01-11,'600497,≥€∫Í–ø’‡,7.67,7.75,7.48,7.63,7.67,0.0,0.0,1.8728,80715171,614928987.0,39050206326.6,33056919086.6
2018-01-10,'600497,≥€∫Í–ø’‡,7.67,7.86,7.6,7.62,7.77,-0.1,-1.287,2.358,101628189,783448659.0,39050206326.6,33056919086.6
2018-01-09,'600497,≥€∫Í–ø’‡,7.77,7.88,7.57,7.83,7.67,0.1,1.3038,2.8497,122818776,949309032.0,39559335483.4,33487908905.2
2018-01-08,'600497,≥€∫Í–ø’‡,7.67,7.8,7.22,7.31,7.39,0.28,3.7889,3.7085,159834431,1211280619.0,39050206326.6,33056919086.6
2018-01-05,'600497,≥€∫Í–ø’‡,7.39,7.5,7.26,7.38,7.35,0.04,0.5442,2.3848,102782200,757863946.0,37624644687.5,31850147594.5
2018-01-04,'600497,≥€∫Í–ø’‡,7.35,7.35,7.13,7.2,7.26,0.09,1.2397,1.6553,71340483,516952817.0,37420993024.8,31677751667.1
2018-01-03,'600497,≥€∫Í–ø’‡,7.26,7.47,7.19,7.3,7.26,0.0,0.0,2.3076,99455307,729461486.0,36962776783.7,31289860830.4
2018-01-02,'600497,≥€∫Í–ø’‡,7.26,7.29,7.03,7.17,7.1,0.16,2.2535,2.0189,87010790,627692330.0,36962776783.7,31289860830.4
